Data,Hora,Frequência Cardíaca,Origem
2025.08.03 00:40:00,00:40:00,88,
2025.08.03 00:41:00,00:41:00,79,
2025.08.03 00:43:00,00:43:00,66,
2025.08.03 00:44:00,00:44:00,77,
2025.08.03 00:45:00,00:45:00,75,
2025.08.03 00:46:00,00:46:00,89,
2025.08.03 00:47:00,00:47:00,94,
2025.08.03 00:48:00,00:48:00,91,
2025.08.03 00:49:00,00:49:00,94,
2025.08.03 00:50:00,00:50:00,88,
2025.08.03 00:51:00,00:51:00,90,
2025.08.03 00:52:00,00:52:00,89,
2025.08.03 00:53:00,00:53:00,87,
2025.08.03 00:54:00,00:54:00,87,
2025.08.03 00:55:00,00:55:00,89,
2025.08.03 00:56:00,00:56:00,89,
2025.08.03 00:57:00,00:57:00,90,
2025.08.03 00:58:00,00:58:00,92,
2025.08.03 00:59:00,00:59:00,85,
2025.08.03 01:00:00,01:00:00,83,
2025.08.03 01:01:00,01:01:00,83,
2025.08.03 01:02:00,01:02:00,88,
2025.08.03 01:03:00,01:03:00,84,
2025.08.03 01:04:00,01:04:00,89,
2025.08.03 01:05:00,01:05:00,85,
2025.08.03 01:06:00,01:06:00,84,
2025.08.03 01:07:00,01:07:00,84,
2025.08.03 01:08:00,01:08:00,87,
2025.08.03 01:09:00,01:09:00,87,
2025.08.03 01:10:00,01:10:00,87,
2025.08.03 01:11:00,01:11:00,89,
2025.08.03 01:12:00,01:12:00,90,
2025.08.03 01:13:00,01:13:00,89,
2025.08.03 01:14:00,01:14:00,87,
2025.08.03 01:15:00,01:15:00,87,
2025.08.03 01:16:00,01:16:00,87,
2025.08.03 01:17:00,01:17:00,88,
2025.08.03 01:18:00,01:18:00,86,
2025.08.03 01:19:00,01:19:00,89,
2025.08.03 01:20:00,01:20:00,88,
2025.08.03 01:21:00,01:21:00,88,
2025.08.03 01:22:00,01:22:00,87,
2025.08.03 01:23:00,01:23:00,89,
2025.08.03 01:24:00,01:24:00,89,
2025.08.03 01:25:00,01:25:00,87,
2025.08.03 01:26:00,01:26:00,86,
2025.08.03 01:27:00,01:27:00,88,
2025.08.03 01:28:00,01:28:00,86,
2025.08.03 01:29:00,01:29:00,92,
2025.08.03 01:30:00,01:30:00,90,
2025.08.03 01:32:00,01:32:00,92,
2025.08.03 01:33:00,01:33:00,89,
2025.08.03 01:34:00,01:34:00,88,
2025.08.03 01:35:00,01:35:00,91,
2025.08.03 01:36:00,01:36:00,88,
2025.08.03 01:37:00,01:37:00,90,
2025.08.03 01:38:00,01:38:00,90,
2025.08.03 01:39:00,01:39:00,90,
2025.08.03 01:40:00,01:40:00,91,
2025.08.03 01:41:00,01:41:00,90,
2025.08.03 01:42:00,01:42:00,92,
2025.08.03 01:43:00,01:43:00,91,
2025.08.03 01:44:00,01:44:00,92,
2025.08.03 01:45:00,01:45:00,89,
2025.08.03 01:46:00,01:46:00,88,
2025.08.03 01:47:00,01:47:00,88,
2025.08.03 01:48:00,01:48:00,89,
2025.08.03 01:49:00,01:49:00,91,
2025.08.03 01:50:00,01:50:00,88,
2025.08.03 01:51:00,01:51:00,87,
2025.08.03 01:52:00,01:52:00,84,
2025.08.03 01:53:00,01:53:00,97,
2025.08.03 01:54:00,01:54:00,91,
2025.08.03 01:55:00,01:55:00,88,
2025.08.03 01:56:00,01:56:00,89,
2025.08.03 01:57:00,01:57:00,88,
2025.08.03 01:58:00,01:58:00,88,
2025.08.03 01:59:00,01:59:00,89,
2025.08.03 02:00:00,02:00:00,85,
2025.08.03 02:01:00,02:01:00,87,
2025.08.03 02:02:00,02:02:00,88,
2025.08.03 02:03:00,02:03:00,89,
2025.08.03 02:04:00,02:04:00,88,
2025.08.03 02:05:00,02:05:00,89,
2025.08.03 02:06:00,02:06:00,88,
2025.08.03 02:07:00,02:07:00,87,
2025.08.03 02:08:00,02:08:00,87,
2025.08.03 02:09:00,02:09:00,88,
2025.08.03 02:10:00,02:10:00,88,
2025.08.03 02:11:00,02:11:00,88,
2025.08.03 02:12:00,02:12:00,88,
2025.08.03 02:13:00,02:13:00,88,
2025.08.03 02:14:00,02:14:00,88,
2025.08.03 02:15:00,02:15:00,88,
2025.08.03 02:16:00,02:16:00,88,
2025.08.03 02:17:00,02:17:00,87,
2025.08.03 02:18:00,02:18:00,88,
2025.08.03 02:19:00,02:19:00,89,
2025.08.03 02:20:00,02:20:00,89,
2025.08.03 02:21:00,02:21:00,85,
2025.08.03 02:22:00,02:22:00,86,
2025.08.03 02:23:00,02:23:00,87,
2025.08.03 02:24:00,02:24:00,87,
2025.08.03 02:25:00,02:25:00,87,
2025.08.03 02:26:00,02:26:00,87,
2025.08.03 02:27:00,02:27:00,87,
2025.08.03 02:28:00,02:28:00,87,
2025.08.03 02:29:00,02:29:00,87,
2025.08.03 02:30:00,02:30:00,87,
2025.08.03 02:31:00,02:31:00,86,
2025.08.03 02:32:00,02:32:00,87,
2025.08.03 02:33:00,02:33:00,87,
2025.08.03 02:34:00,02:34:00,87,
2025.08.03 02:35:00,02:35:00,87,
2025.08.03 02:36:00,02:36:00,87,
2025.08.03 02:37:00,02:37:00,87,
2025.08.03 02:38:00,02:38:00,85,
2025.08.03 02:39:00,02:39:00,87,
2025.08.03 02:40:00,02:40:00,87,
2025.08.03 02:41:00,02:41:00,86,
2025.08.03 02:42:00,02:42:00,87,
2025.08.03 02:43:00,02:43:00,85,
2025.08.03 02:44:00,02:44:00,86,
2025.08.03 02:45:00,02:45:00,79,
2025.08.03 02:46:00,02:46:00,84,
2025.08.03 02:47:00,02:47:00,86,
2025.08.03 02:48:00,02:48:00,86,
2025.08.03 02:49:00,02:49:00,86,
2025.08.03 02:50:00,02:50:00,87,
2025.08.03 02:51:00,02:51:00,86,
2025.08.03 02:52:00,02:52:00,85,
2025.08.03 02:53:00,02:53:00,88,
2025.08.03 02:54:00,02:54:00,87,
2025.08.03 02:55:00,02:55:00,87,
